,coef
kw_registered_direct,-0.01696431455765806
kw_warrant,-0.014406086768643455
kw_units,-0.013206420293984052
kw_public_offering,-0.010128596625149734
mom_5d,-0.009313483143801453
kw_ipo,-0.006695101589094851
vol_20d,-0.006126552657049067
n_news,-0.0035571527037031258
kw_convertible,-0.0032275273844871314
warrants,-0.003047979464134695
offering_seq,-0.002834865253455159
accompanying,-0.0023981053461480796
pricing,-0.002338405067116651
agent,-0.002171255974423238
offering,-0.001953810732628675
