,coef
securities,0.0022859639433105245
clinical,0.0024881192302059108
kw_terminat,0.0025234221091093964
days_since_last_offering,0.002912205446622016
kw_secondary_offering,0.002927541934222922
kw_shelf,0.002931395306059101
has_discount,0.003023616873531859
kw_preferred,0.0035564995595309843
kw_price,0.003899616675658597
log_dollar_amount,0.00556277325276239
symbol_avg_prior_ret,0.007015300024455569
kw_private_placement,0.012284866124084005
hours_before_open,0.012373373393049213
log_prior_close,0.01517147501837587
discount_pct,0.029768545745266686
